Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Petunia_integrifolia,Solanaceae,Petunia,integrifolia,0.125,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_interior,Solanaceae,Petunia,interior,0.132,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_littoralis,Solanaceae,Petunia,littoralis,0.126,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_mantiqueirensis,Solanaceae,Petunia,mantiqueirensis,0.171,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_occidentalis,Solanaceae,Petunia,occidentalis,0.028,Morokawa et al. (2005),SC,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_riograndensis,Solanaceae,Petunia,riograndensis,0.211,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_saxicola,Solanaceae,Petunia,saxicola,0.077,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Petunia_scheideana,Solanaceae,Petunia,scheideana,0.23,Morokawa et al. (2005),SI,Morokawa et al. (2005),Herb,Herb,Stehmann et al. (2009)
Physalis_angulata,Solanaceae,Physalis,angulata,1.122,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_cinerascens,Solanaceae,Physalis,cinerascens,1.1516,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_crassifolia,Solanaceae,Physalis,crassifolia,0.79152,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_heterophylla,Solanaceae,Physalis,heterophylla,2.023,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_longifolia,Solanaceae,Physalis,longifolia,0.97,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_philadelphica,Solanaceae,Physalis,philadelphica,1.529,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_pruinosa,Solanaceae,Physalis,pruinosa,0.82,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_pubescens,Solanaceae,Physalis,pubescens,0.636,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Physalis_pumila,Solanaceae,Physalis,pumila,1.5284,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Physalis_virginiana,Solanaceae,Physalis,virginiana,1.53,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Physalis_viscosa,Solanaceae,Physalis,viscosa,0.445,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,Engemann et al. (2016)
Schizanthus_alpestris,Solanaceae,Schizanthus,alpestris,0.436,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_candidus,Solanaceae,Schizanthus,candidus,0.5482,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_grahamii,Solanaceae,Schizanthus,grahamii,1.2261,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_integrifolius,Solanaceae,Schizanthus,integrifolius,1.3724,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_lacteus,Solanaceae,Schizanthus,lacteus,0.9068,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_litoralis,Solanaceae,Schizanthus,litoralis,0.4924,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Schizanthus_pinnatus,Solanaceae,Schizanthus,pinnatus,0.489,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Solanum_aculeastrum,Solanaceae,Solanum,aculeastrum,7.64,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_aculeatissimum,Solanaceae,Solanum,aculeatissimum,3.0663,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_aethiopicum,Solanaceae,Solanum,aethiopicum,2.7,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_americanum,Solanaceae,Solanum,americanum,0.51,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_anguivi,Solanaceae,Solanum,anguivi,1.84,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_anomalum,Solanaceae,Solanum,anomalum,1.6,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Solanum_aviculare,Solanaceae,Solanum,aviculare,0.8,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_campanulatum,Solanaceae,Solanum,campanulatum,1.2596,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
