Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Carduus_acanthoides,Asteraceae,Carduus,acanthoides,2.41,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Carduus_nutans,Asteraceae,Carduus,nutans,3.9,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Carduus_pycnocephalus,Asteraceae,Carduus,pycnocephalus,3.8964,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Carduus_tenuiflorus,Asteraceae,Carduus,tenuiflorus,3.517,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Carthamus_dentatus,Asteraceae,Carthamus,dentatus,18.087,Seed Information Database,SC,McPherson et al. (2004),Herb,Herb,GBIF
Carthamus_flavescens,Asteraceae,Carthamus,flavescens,29.6,Seed Information Database,SI,Imrie et al. (1971),Herb,Herb,Engemann et al. (2016)
Carthamus_lanatus,Asteraceae,Carthamus,lanatus,13.4,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Carthamus_nitidus,Asteraceae,Carthamus,nitidus,16.3,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Carthamus_persicus,Asteraceae,Carthamus,persicus,14.218,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Carthamus_turkestanicus,Asteraceae,Carthamus,turkestanicus,28.65,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Catananche_lutea,Asteraceae,Catananche,lutea,2.2004,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Centaurea_aspera,Asteraceae,Centaurea,aspera,5.6464,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Centaurea_cyanus,Asteraceae,Centaurea,cyanus,4.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_jacea,Asteraceae,Centaurea,jacea,1.4965,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_melitensis,Asteraceae,Centaurea,melitensis,1.499,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_montana,Asteraceae,Centaurea,montana,14.8,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_nigra,Asteraceae,Centaurea,nigra,2.2314,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_scabiosa,Asteraceae,Centaurea,scabiosa,5.6264,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Centaurea_solstitialis,Asteraceae,Centaurea,solstitialis,2.0372,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Chaenactis_douglasii,Asteraceae,Chaenactis,douglasii,1.334,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Chaetanthera_euphrasioides,Asteraceae,Chaetanthera,euphrasioides,1.4546,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Chaetanthera_moenchioides,Asteraceae,Chaetanthera,moenchioides,1.3249,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Chiliotrichum_diffusum,Asteraceae,Chiliotrichum,diffusum,1.0534,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Chrysanthemum_indicum,Asteraceae,Chrysanthemum,indicum,0.36,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Chrysanthemum_segetum,Asteraceae,Chrysanthemum,segetum,1.82,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cichorium_intybus,Asteraceae,Cichorium,intybus,1.2,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cirsium_acaule,Asteraceae,Cirsium,acaule,4.35,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Cirsium_arvense,Asteraceae,Cirsium,arvense,1.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cirsium_brevistylum,Asteraceae,Cirsium,brevistylum,1.724,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cirsium_dissectum,Asteraceae,Cirsium,dissectum,2.3748,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cirsium_palustre,Asteraceae,Cirsium,palustre,1.63,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cirsium_quercetorum,Asteraceae,Cirsium,quercetorum,7.3936,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Commidendrum_rotundifolium,Asteraceae,Commidendrum,rotundifolium,0.21,Seed Information Database,SI,Grossenbacher et al. (2017),Tree,NonHerb,https://www.iucnredlist.org/species/37591/67370300
Commidendrum_spurium,Asteraceae,Commidendrum,spurium,1.047,Seed Information Database,SI,Grossenbacher et al. (2017),Tree,NonHerb,https://www.iucnredlist.org/species/37588/67370705
Conyza_ramosissima,Asteraceae,Conyza,ramosissima,0.3892,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_basalis,Asteraceae,Coreopsis,basalis,0.9,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_bigelovii,Asteraceae,Coreopsis,bigelovii,1.47,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_californica,Asteraceae,Coreopsis,californica,0.427,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_calliopsidea,Asteraceae,Coreopsis,calliopsidea,1.078,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_douglasii,Asteraceae,Coreopsis,douglasii,0.392,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_gigantea,Asteraceae,Coreopsis,gigantea,1.089,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Coreopsis_grandiflora,Asteraceae,Coreopsis,grandiflora,2.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_lanceolata,Asteraceae,Coreopsis,lanceolata,1.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_linifolia,Asteraceae,Coreopsis,linifolia,0.352,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Coreopsis_maritima,Asteraceae,Coreopsis,maritima,2.465,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Coreopsis_pubescens,Asteraceae,Coreopsis,pubescens,1.3484,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_rosea,Asteraceae,Coreopsis,rosea,0.11,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_tinctoria,Asteraceae,Coreopsis,tinctoria,0.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_tripteris,Asteraceae,Coreopsis,tripteris,2.5652,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Coreopsis_verticillata,Asteraceae,Coreopsis,verticillata,1.9488,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cosmos_bipinnatus,Asteraceae,Cosmos,bipinnatus,7,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cotula_australis,Asteraceae,Cotula,australis,0.06,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cotula_coronopifolia,Asteraceae,Cotula,coronopifolia,0.089,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Crepis_capillaris,Asteraceae,Crepis,capillaris,0.24,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Crepis_foetida,Asteraceae,Crepis,foetida,0.5083,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Crepis_paludosa,Asteraceae,Crepis,paludosa,0.64,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Crepis_sancta,Asteraceae,Crepis,sancta,0.1522,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Crepis_tectorum,Asteraceae,Crepis,tectorum,0.2688,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Cynara_cardunculus,Asteraceae,Cynara,cardunculus,33.2,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Dendroseris_litoralis,Asteraceae,Dendroseris,litoralis,5.584,Seed Information Database,SC,Grossenbacher et al. (2017),Tree,NonHerb,Hind & Johnson (2006)
Dimorphotheca_polyptera,Asteraceae,Dimorphotheca,polyptera,1,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Dimorphotheca_sinuata,Asteraceae,Dimorphotheca,sinuata,1.2,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_angustifolia,Asteraceae,Echinacea,angustifolia,45.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_atrorubens,Asteraceae,Echinacea,atrorubens,4.084,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_pallida,Asteraceae,Echinacea,pallida,5.6604,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_purpurea,Asteraceae,Echinacea,purpurea,2.4268,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_sanguinea,Asteraceae,Echinacea,sanguinea,2.3272,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Echinacea_tennesseensis,Asteraceae,Echinacea,tennesseensis,4.2908,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Egletes_prostrata,Asteraceae,Egletes,prostrata,0.0972,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Emilia_discifolia,Asteraceae,Emilia,discifolia,0.2064,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Encelia_actoni,Asteraceae,Encelia,actoni,1.675,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Encelia_californica,Asteraceae,Encelia,californica,1.7,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Encelia_canescens,Asteraceae,Encelia,canescens,2.6241,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Encelia_farinosa,Asteraceae,Encelia,farinosa,1.4,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Encelia_frutescens,Asteraceae,Encelia,frutescens,3.3,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Encelia_halimifolia,Asteraceae,Encelia,halimifolia,1.6272,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Encelia_resinifera,Asteraceae,Encelia,resinifera,3.122,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Encelia_ventorum,Asteraceae,Encelia,ventorum,2.1944,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Encelia_virginensis,Asteraceae,Encelia,virginensis,1.661,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Enceliopsis_covillei,Asteraceae,Enceliopsis,covillei,1.15,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Erigeron_bonariensis,Asteraceae,Erigeron,bonariensis,0.098,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Erigeron_canadensis,Asteraceae,Erigeron,canadensis,0.05,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Erigeron_glabellus,Asteraceae,Erigeron,glabellus,0.2801,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Erigeron_strigosus,Asteraceae,Erigeron,strigosus,0.03,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Erigeron_sumatrensis,Asteraceae,Erigeron,sumatrensis,0.03,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Eriophyllum_pringlei,Asteraceae,Eriophyllum,pringlei,0.593,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Eriophyllum_wallacei,Asteraceae,Eriophyllum,wallacei,0.276,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Eupatorium_cannabinum,Asteraceae,Eupatorium,cannabinum,0.2892,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Eupatorium_perfoliatum,Asteraceae,Eupatorium,perfoliatum,0.11,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Eupatorium_purpureum,Asteraceae,Eupatorium,purpureum,0.4564,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Eurybia_sibirica,Asteraceae,Eurybia,sibirica,0.7272,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Flaveria_anomala,Asteraceae,Flaveria,anomala,0.2493,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Flaveria_bidentis,Asteraceae,Flaveria,bidentis,0.21,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Flaveria_cronquistii,Asteraceae,Flaveria,cronquistii,0.094,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Flaveria_pringlei,Asteraceae,Flaveria,pringlei,0.125,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Flaveria_ramosissima,Asteraceae,Flaveria,ramosissima,0.085,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Flaveria_trinervia,Asteraceae,Flaveria,trinervia,0.5,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Gaillardia_pulchella,Asteraceae,Gaillardia,pulchella,1.7,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Galinsoga_parviflora,Asteraceae,Galinsoga,parviflora,0.31,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Galinsoga_quadriradiata,Asteraceae,Galinsoga,quadriradiata,0.2484,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Gamochaeta_spiciformis,Asteraceae,Gamochaeta,spiciformis,0.0384,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Gazania_lichtensteinii,Asteraceae,Gazania,lichtensteinii,2.423,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Geraea_canescens,Asteraceae,Geraea,canescens,2.171,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Gerbera_jamesonii,Asteraceae,Gerbera,jamesonii,2.0571,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Gnephosis_tenuissima,Asteraceae,Gnephosis,tenuissima,0.0194,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Grindelia_camporum,Asteraceae,Grindelia,camporum,1.9837,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Grindelia_ciliata,Asteraceae,Grindelia,ciliata,2.368,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Grindelia_hirsutula,Asteraceae,Grindelia,hirsutula,4.0791,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Grindelia_stricta,Asteraceae,Grindelia,stricta,3.2535,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Gymnarrhena_micrantha,Asteraceae,Gymnarrhena,micrantha,1.7,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Haplopappus_paucidentatus,Asteraceae,Haplopappus,paucidentatus,1.5447,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Helianthus_angustifolius,Asteraceae,Helianthus,angustifolius,1.027,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_annuus,Asteraceae,Helianthus,annuus,38.8,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_anomalus,Asteraceae,Helianthus,anomalus,2.464,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_argophyllus,Asteraceae,Helianthus,argophyllus,4.634,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_bolanderi,Asteraceae,Helianthus,bolanderi,4.81,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_ciliaris,Asteraceae,Helianthus,ciliaris,1.3,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Helianthus_decapetalus,Asteraceae,Helianthus,decapetalus,5.1264,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_divaricatus,Asteraceae,Helianthus,divaricatus,4.2848,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_giganteus,Asteraceae,Helianthus,giganteus,3.228,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_glaucophyllus,Asteraceae,Helianthus,glaucophyllus,3.4852,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_grosseserratus,Asteraceae,Helianthus,grosseserratus,1.9768,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_laciniatus,Asteraceae,Helianthus,laciniatus,2.664,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_maximiliani,Asteraceae,Helianthus,maximiliani,2,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_mollis,Asteraceae,Helianthus,mollis,4.7,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_niveus,Asteraceae,Helianthus,niveus,2.1584,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Helianthus_nuttallii,Asteraceae,Helianthus,nuttallii,3.133,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_occidentalis,Asteraceae,Helianthus,occidentalis,2.2122,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_pauciflorus,Asteraceae,Helianthus,pauciflorus,7.7792,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_petiolaris,Asteraceae,Helianthus,petiolaris,3.3039,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_praecox,Asteraceae,Helianthus,praecox,1.7144,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Helianthus_pumilus,Asteraceae,Helianthus,pumilus,4.6,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_radula,Asteraceae,Helianthus,radula,2.2404,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_salicifolius,Asteraceae,Helianthus,salicifolius,5.9224,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helianthus_strumosus,Asteraceae,Helianthus,strumosus,5.272,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Helianthus_tuberosus,Asteraceae,Helianthus,tuberosus,3.8,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Helminthotheca_echioides,Asteraceae,Helminthotheca,echioides,0.703,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Heterotheca_subaxillaris,Asteraceae,Heterotheca,subaxillaris,0.6,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hieracium_alpinum,Asteraceae,Hieracium,alpinum,0.8128,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hieracium_antarcticum,Asteraceae,Hieracium,antarcticum,0.3,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hieracium_umbellatum,Asteraceae,Hieracium,umbellatum,0.449,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Holocarpha_obconica,Asteraceae,Holocarpha,obconica,2.108,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Holocarpha_virgata,Asteraceae,Holocarpha,virgata,1.252,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hulsea_algida,Asteraceae,Hulsea,algida,0.576,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hulsea_heterochroma,Asteraceae,Hulsea,heterochroma,0.6,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hypochaeris_arenaria,Asteraceae,Hypochaeris,arenaria,0.867,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Hypochaeris_glabra,Asteraceae,Hypochaeris,glabra,0.68,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hypochaeris_maculata,Asteraceae,Hypochaeris,maculata,1.45,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hypochaeris_radicata,Asteraceae,Hypochaeris,radicata,0.8,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Hypochaeris_salzmanniana,Asteraceae,Hypochaeris,salzmanniana,0.7128,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Lactuca_perennis,Asteraceae,Lactuca,perennis,1.1754,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Lactuca_saligna,Asteraceae,Lactuca,saligna,0.73,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lactuca_serriola,Asteraceae,Lactuca,serriola,0.58,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lactuca_viminea,Asteraceae,Lactuca,viminea,2.1588,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Lactuca_virosa,Asteraceae,Lactuca,virosa,0.8971,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lagophylla_minor,Asteraceae,Lagophylla,minor,0.26,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lagophylla_ramosissima,Asteraceae,Lagophylla,ramosissima,0.275,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lapsana_communis,Asteraceae,Lapsana,communis,0.8283,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Lasthenia_glaberrima,Asteraceae,Lasthenia,glaberrima,0.244,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Layia_carnosa,Asteraceae,Layia,carnosa,0.884,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Layia_chrysanthemoides,Asteraceae,Layia,chrysanthemoides,0.743,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Layia_glandulosa,Asteraceae,Layia,glandulosa,0.72,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Layia_heterotricha,Asteraceae,Layia,heterotricha,0.388,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Layia_platyglossa,Asteraceae,Layia,platyglossa,0.727,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Leontodon_autumnalis,Asteraceae,Leontodon,autumnalis,0.7,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Leontodon_hispidus,Asteraceae,Leontodon,hispidus,1.1158,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Leontodon_saxatilis,Asteraceae,Leontodon,saxatilis,0.593,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Leucanthemum_vulgare,Asteraceae,Leucanthemum,vulgare,0.42,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Leucochrysum_albicans,Asteraceae,Leucochrysum,albicans,1.0696,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Liatris_aspera,Asteraceae,Liatris,aspera,2.1,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Liatris_cylindracea,Asteraceae,Liatris,cylindracea,3.265,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Liatris_ligulistylis,Asteraceae,Liatris,ligulistylis,1.6164,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Liatris_scariosa,Asteraceae,Liatris,scariosa,2.98,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Liatris_spicata,Asteraceae,Liatris,spicata,2.9,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Logfia_gallica,Asteraceae,Logfia,gallica,0.02,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Madia_elegans,Asteraceae,Madia,elegans,3.371,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Madia_exigua,Asteraceae,Madia,exigua,0.589,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Madia_glomerata,Asteraceae,Madia,glomerata,1.908,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Madia_gracilis,Asteraceae,Madia,gracilis,1.9,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
